"","year","selling_price","km_driven","fuel","seller_type","transmission","owner"
"1",2014,450000,145500,"Diesel","Individual","Manual","First Owner"
"2",2014,370000,120000,"Diesel","Individual","Manual","Second Owner"
"3",2006,158000,140000,"Petrol","Individual","Manual","Third Owner"
"4",2010,225000,127000,"Diesel","Individual","Manual","First Owner"
"5",2007,130000,120000,"Petrol","Individual","Manual","First Owner"
"6",2017,440000,45000,"Petrol","Individual","Manual","First Owner"
"7",2007,96000,175000,"LPG","Individual","Manual","First Owner"
"8",2001,45000,5000,"Petrol","Individual","Manual","Second Owner"
"9",2011,350000,90000,"Diesel","Individual","Manual","First Owner"
"10",2013,200000,169000,"Diesel","Individual","Manual","First Owner"
"11",2014,500000,68000,"Diesel","Individual","Manual","Second Owner"
"12",2005,92000,100000,"Petrol","Individual","Manual","Second Owner"
"13",2009,280000,140000,"Diesel","Individual","Manual","Second Owner"
"14",2007,200000,80000,"Petrol","Individual","Manual","Second Owner"
"15",2009,180000,90000,"Petrol","Individual","Manual","Second Owner"
"16",2016,400000,40000,"Petrol","Individual","Manual","First Owner"
"17",2016,778000,70000,"Diesel","Individual","Manual","Second Owner"
"18",2012,500000,53000,"Diesel","Individual","Manual","Second Owner"
"19",2002,150000,80000,"Petrol","Individual","Manual","Second Owner"
"20",2016,680000,100000,"Diesel","Individual","Manual","First Owner"
"21",2011,174000,100000,"Diesel","Individual","Manual","Second Owner"
"22",2017,950000,50000,"Diesel","Individual","Manual","First Owner"
"23",2015,525000,40000,"Diesel","Individual","Manual","First Owner"
"24",2012,600000,72000,"Diesel","Individual","Manual","First Owner"
"25",2018,500000,35000,"Petrol","Individual","Manual","First Owner"
"26",2016,575000,45000,"Petrol","Individual","Manual","First Owner"
"27",2017,275000,28000,"Petrol","Individual","Manual","First Owner"
"28",2013,300000,70000,"Diesel","Individual","Manual","First Owner"
"29",2009,220000,120000,"Petrol","Individual","Manual","First Owner"
"30",2018,254999,25000,"Petrol","Individual","Manual","First Owner"
"31",2017,670000,70000,"Diesel","Individual","Manual","First Owner"
"32",2003,70000,50000,"Petrol","Individual","Manual","Second Owner"
"33",2012,150000,35000,"Petrol","Individual","Manual","Second Owner"
"34",2018,730000,2388,"Petrol","Individual","Manual","First Owner"
"35",2017,650000,16200,"Diesel","Individual","Manual","First Owner"
"36",2019,330000,10000,"CNG","Individual","Manual","Second Owner"
"37",2019,366000,15000,"Petrol","Individual","Manual","First Owner"
"38",2019,1149000,5000,"Petrol","Individual","Manual","First Owner"
"39",2016,150000,42000,"Petrol","Individual","Manual","First Owner"
"40",2011,425000,60000,"Diesel","Individual","Manual","Second Owner"
"41",2012,150000,76000,"Petrol","Individual","Manual","First Owner"
"42",2019,2100000,5000,"Petrol","Individual","Automatic","First Owner"
"43",2018,925000,28900,"Petrol","Dealer","Manual","First Owner"
"44",2013,425000,86300,"Petrol","Dealer","Manual","First Owner"
"45",2018,675000,23300,"Petrol","Dealer","Automatic","First Owner"
"46",2018,819999,32600,"Diesel","Dealer","Manual","First Owner"
"47",2018,390000,10300,"Petrol","Dealer","Manual","First Owner"
"48",2014,1500000,77000,"Diesel","Dealer","Manual","First Owner"
"49",2013,700000,99000,"Diesel","Dealer","Manual","First Owner"
"50",2014,1450000,27800,"Diesel","Dealer","Automatic","Second Owner"
"51",2015,425000,49800,"Diesel","Dealer","Manual","First Owner"
"52",2013,1090000,151000,"Diesel","Dealer","Manual","First Owner"
"53",2015,600000,54700,"Diesel","Dealer","Manual","First Owner"
"54",2018,850000,64000,"Petrol","Dealer","Manual","First Owner"
"55",2015,525000,63000,"Diesel","Dealer","Manual","First Owner"
"56",2016,1650000,127700,"Diesel","Dealer","Automatic","Second Owner"
"57",2016,950000,99000,"Diesel","Dealer","Manual","First Owner"
"58",2013,1750000,33900,"Diesel","Dealer","Automatic","Second Owner"
"59",2018,1590000,25000,"Petrol","Dealer","Automatic","First Owner"
"60",2013,1689999,50000,"Diesel","Dealer","Automatic","First Owner"
"61",2013,1425000,59000,"Diesel","Dealer","Automatic","First Owner"
"62",2011,265000,120000,"Diesel","Individual","Manual","First Owner"
"63",2011,190000,110000,"Petrol","Individual","Manual","Third Owner"
"64",2013,425000,60000,"Diesel","Individual","Manual","First Owner"
"65",2015,630000,147000,"Diesel","Individual","Manual","Second Owner"
"66",2017,600000,25000,"Petrol","Individual","Manual","Third Owner"
"67",2019,650000,30000,"Petrol","Individual","Manual","First Owner"
"68",2016,540000,40000,"Diesel","Individual","Manual","First Owner"
"69",2015,630000,135000,"Diesel","Individual","Manual","First Owner"
"70",2018,448000,30000,"Petrol","Individual","Automatic","First Owner"
"71",2017,500000,80000,"Diesel","Individual","Manual","First Owner"
"72",2016,745000,70000,"Diesel","Individual","Manual","First Owner"
"73",2019,1025000,9850,"Diesel","Individual","Automatic","First Owner"
"74",2011,235000,60000,"Petrol","Individual","Manual","Second Owner"
"75",2016,630000,70000,"Diesel","Individual","Manual","First Owner"
"76",2015,1700000,78000,"Diesel","Individual","Manual","Second Owner"
"77",2013,450000,120000,"Diesel","Individual","Manual","Second Owner"
"78",2012,450000,120000,"Petrol","Individual","Manual","Second Owner"
"79",2003,50000,70000,"Diesel","Individual","Manual","First Owner"
"80",2013,450000,170000,"Diesel","Individual","Manual","First Owner"
"81",2016,1200000,140000,"Diesel","Individual","Manual","First Owner"
"82",2015,610000,90000,"Diesel","Individual","Manual","First Owner"
"83",2016,2500000,30000,"Petrol","Individual","Automatic","Second Owner"
"84",2017,484999,10000,"Petrol","Dealer","Manual","First Owner"
"85",2016,275000,49000,"Petrol","Dealer","Manual","First Owner"
"86",2016,315000,32000,"Petrol","Dealer","Manual","First Owner"
"87",2016,275000,38000,"Petrol","Dealer","Manual","First Owner"
"88",2015,475000,78000,"Diesel","Dealer","Manual","First Owner"
"89",2012,290000,28000,"Petrol","Dealer","Manual","First Owner"
"90",2017,280000,32000,"Petrol","Dealer","Manual","First Owner"
"91",2010,225000,44000,"LPG","Dealer","Manual","First Owner"
"92",2015,455000,42000,"Petrol","Dealer","Manual","First Owner"
"93",2015,351000,45000,"Petrol","Dealer","Manual","Second Owner"
"94",2012,535000,12000,"Petrol","Dealer","Manual","Second Owner"
"95",2009,175000,55500,"Petrol","Dealer","Manual","First Owner"
"96",2013,525000,61500,"Petrol","Dealer","Manual","First Owner"
"97",2016,600000,150000,"Diesel","Individual","Manual","First Owner"
"98",2016,565000,72000,"Petrol","Dealer","Automatic","First Owner"
"99",2008,120000,68000,"Petrol","Dealer","Manual","Third Owner"
"100",2017,725000,110000,"Diesel","Individual","Manual","First Owner"
